refdes_list,method_list,type_list
GA01SUMO-RII11-02-CTDMOQ031,telemetered,Science
GA01SUMO-RII11-02-CTDMOQ033,recovered_host,Science
GA01SUMO-RII11-02-CTDMOQ033,recovered_inst,Science
GA01SUMO-RII11-02-CTDMOQ033,telemetered,Science
GA01SUMO-RII11-02-CTDMOR018,recovered_host,Science
GA01SUMO-RII11-02-CTDMOR018,recovered_inst,Science
GA01SUMO-RII11-02-CTDMOR018,telemetered,Science
GA01SUMO-RII11-02-CTDMOR019,recovered_host,Science
GA01SUMO-RII11-02-CTDMOR019,recovered_inst,Science
GA01SUMO-RII11-02-CTDMOR019,telemetered,Science
GA01SUMO-RII11-02-CTDMOR020,recovered_host,Science
GA01SUMO-RII11-02-CTDMOR020,recovered_inst,Science
GA01SUMO-RII11-02-CTDMOR020,telemetered,Science
GA01SUMO-RII11-02-DOSTAD031,recovered_host,Science
GA01SUMO-RII11-02-DOSTAD031,telemetered,Science
GA01SUMO-RII11-02-DOSTAD032,recovered_host,Science
GA01SUMO-RII11-02-DOSTAD032,telemetered,Science
GA01SUMO-RII11-02-DOSTAD033,recovered_host,Science
GA01SUMO-RII11-02-DOSTAD033,telemetered,Science
GA01SUMO-RII11-02-FLORDG031,recovered_host,Science
GA01SUMO-RII11-02-FLORDG031,telemetered,Science
GA01SUMO-RII11-02-FLORDG032,recovered_host,Science
GA01SUMO-RII11-02-FLORDG032,telemetered,Science
GA01SUMO-RII11-02-FLORDG033,recovered_host,Science
GA01SUMO-RII11-02-FLORDG033,telemetered,Science
GA01SUMO-RII11-02-PCO2WC051,recovered_host,Science
GA01SUMO-RII11-02-PCO2WC051,recovered_inst,Science
GA01SUMO-RII11-02-PCO2WC051,telemetered,Science
GA01SUMO-RII11-02-PCO2WC052,recovered_host,Science
GA01SUMO-RII11-02-PCO2WC052,recovered_inst,Science
GA01SUMO-RII11-02-PCO2WC052,telemetered,Science
GA01SUMO-RII11-02-PCO2WC053,recovered_host,Science
GA01SUMO-RII11-02-PCO2WC053,recovered_inst,Science
GA01SUMO-RII11-02-PCO2WC053,telemetered,Science
GA01SUMO-RII11-02-PHSENE041,recovered_host,Science
GA01SUMO-RII11-02-PHSENE041,recovered_inst,Science
GA01SUMO-RII11-02-PHSENE041,telemetered,Science
GA01SUMO-RII11-02-PHSENE042,recovered_host,Science
GA01SUMO-RII11-02-PHSENE042,recovered_inst,Science
GA01SUMO-RII11-02-PHSENE042,telemetered,Science
GA01SUMO-SBC11-00-CPMENG000,recovered_host,Engineering
GA01SUMO-SBC11-00-CPMENG000,telemetered,Engineering
GA01SUMO-SBD11-00-DCLENG000,recovered_host,Engineering
GA01SUMO-SBD11-00-DCLENG000,telemetered,Engineering
GA01SUMO-SBD11-01-MOPAK0000,recovered_host,Engineering
GA01SUMO-SBD11-01-MOPAK0000,telemetered,Engineering
GA01SUMO-SBD11-03-HYDGN0000,recovered_host,Engineering
GA01SUMO-SBD11-03-HYDGN0000,telemetered,Engineering
GA01SUMO-SBD11-04-DOSTAD000,recovered_host,Science
GA01SUMO-SBD11-04-DOSTAD000,telemetered,Science
GA01SUMO-SBD11-05-SPKIRB000,recovered_host,Science
GA01SUMO-SBD11-05-SPKIRB000,telemetered,Science
GA01SUMO-SBD11-06-METBKA000,recovered_host,Science
GA01SUMO-SBD11-06-METBKA000,telemetered,Science
GA01SUMO-SBD11-08-NUTNRB000,recovered_host,Science
GA01SUMO-SBD11-08-NUTNRB000,recovered_inst,Science
GA01SUMO-SBD11-08-NUTNRB000,telemetered,Science
GA01SUMO-SBD12-00-DCLENG000,recovered_host,Engineering
GA01SUMO-SBD12-00-DCLENG000,telemetered,Engineering
GA01SUMO-SBD12-01-OPTAAD000,recovered_host,Science
GA01SUMO-SBD12-01-OPTAAD000,telemetered,Science
GA01SUMO-SBD12-02-FLORTD000,recovered_host,Science
GA01SUMO-SBD12-02-FLORTD000,telemetered,Science
GA01SUMO-SBD12-03-HYDGN0000,recovered_host,Engineering
GA01SUMO-SBD12-03-HYDGN0000,telemetered,Engineering
GA01SUMO-SBD12-04-PCO2AA000,recovered_host,Science
GA01SUMO-SBD12-04-PCO2AA000,telemetered,Science
GA01SUMO-SBD12-05-WAVSSA000,recovered_host,Science
GA01SUMO-SBD12-05-WAVSSA000,telemetered,Science
GA01SUMO-SBD12-06-METBKA000,recovered_host,Science
GA01SUMO-SBD12-06-METBKA000,telemetered,Science
