dim_0,amplitude_beam1,amplitude_beam2,amplitude_beam3,analog1,battery_voltage_dV,date_time_string,driver_timestamp,error_code,heading_decidegree,internal_timestamp,pitch_decidegree,pkt_format_id,pkt_version,preferred_timestamp,pressure_mbar,quality_flag,roll_decidegree,sound_speed_dms,status,stream_name,temperature_centidegree,velocity_beam1,velocity_beam2,velocity_beam3
71,81,81,76,0,116,2017/04/28 07:04:18,3722364942.5,0,2160,3702351858.0,26,JSON_Data,1,internal_timestamp,12805,ok,-108,14812,17,velpt_ab_dcl_diagnostics,768,26,172,1439
72,79,81,77,0,116,2017/04/28 07:04:19,3722364942.5,0,2129,3702351859.0,30,JSON_Data,1,internal_timestamp,14426,ok,-95,14812,17,velpt_ab_dcl_diagnostics,768,208,298,392
73,79,82,75,0,116,2017/04/28 07:04:20,3722364942.5,0,2030,3702351860.0,-20,JSON_Data,1,internal_timestamp,14579,ok,-89,14812,17,velpt_ab_dcl_diagnostics,768,1002,-23,-738
74,76,75,75,0,116,2017/04/28 07:04:21,3722364942.5,0,2393,3702351861.0,-16,JSON_Data,1,internal_timestamp,13653,ok,27,14812,17,velpt_ab_dcl_diagnostics,768,103,-294,-992
75,77,77,73,0,116,2017/04/28 07:04:22,3722364942.5,0,2340,3702351862.0,19,JSON_Data,1,internal_timestamp,12333,ok,29,14812,17,velpt_ab_dcl_diagnostics,768,-170,407,-58
76,75,79,75,0,116,2017/04/28 07:04:23,3722364942.5,0,2207,3702351863.0,-11,JSON_Data,1,internal_timestamp,12646,ok,-64,14812,17,velpt_ab_dcl_diagnostics,768,-272,1045,231
77,79,81,72,0,116,2017/04/28 07:04:24,3722364942.5,0,2139,3702351864.0,-33,JSON_Data,1,internal_timestamp,13114,ok,-105,14812,17,velpt_ab_dcl_diagnostics,768,-370,1053,185
78,75,73,80,0,116,2017/04/28 07:04:25,3722364942.5,0,2167,3702351865.0,-36,JSON_Data,1,internal_timestamp,13459,ok,-108,14812,17,velpt_ab_dcl_diagnostics,768,183,130,107
79,75,79,73,0,116,2017/04/28 07:04:26,3722364942.5,0,2285,3702351866.0,-17,JSON_Data,1,internal_timestamp,13365,ok,-58,14812,17,velpt_ab_dcl_diagnostics,768,251,-355,-694
80,73,74,75,0,116,2017/04/28 07:04:27,3722364942.5,0,2330,3702351867.0,28,JSON_Data,1,internal_timestamp,12812,ok,-28,14812,17,velpt_ab_dcl_diagnostics,769,138,-105,39
81,81,77,74,0,116,2017/04/28 07:04:28,3722364942.5,0,2219,3702351868.0,17,JSON_Data,1,internal_timestamp,12844,ok,-63,14812,17,velpt_ab_dcl_diagnostics,768,267,-247,0
82,78,79,73,0,116,2017/04/28 07:04:29,3722364942.5,0,2250,3702351869.0,50,JSON_Data,1,internal_timestamp,12769,ok,-43,14812,17,velpt_ab_dcl_diagnostics,769,318,-248,-118
83,76,80,73,0,116,2017/04/28 07:04:30,3722364942.5,0,2302,3702351870.0,43,JSON_Data,1,internal_timestamp,12748,ok,-42,14812,17,velpt_ab_dcl_diagnostics,769,-31,-207,-77
84,76,78,87,0,116,2017/04/28 07:04:31,3722364942.5,0,2242,3702351871.0,67,JSON_Data,1,internal_timestamp,12680,ok,-60,14812,17,velpt_ab_dcl_diagnostics,769,-138,150,-377
85,81,73,79,0,116,2017/04/28 07:04:32,3722364942.5,0,2129,3702351872.0,44,JSON_Data,1,internal_timestamp,12549,ok,-94,14812,17,velpt_ab_dcl_diagnostics,769,212,347,612
86,83,79,76,0,116,2017/04/28 07:04:33,3722364942.5,0,2190,3702351873.0,-8,JSON_Data,1,internal_timestamp,13646,ok,-96,14812,17,velpt_ab_dcl_diagnostics,769,266,593,1217
87,77,76,74,0,116,2017/04/28 07:04:34,3722364942.5,0,2084,3702351874.0,-11,JSON_Data,1,internal_timestamp,14613,ok,-93,14812,17,velpt_ab_dcl_diagnostics,769,731,748,-530
88,78,78,74,0,116,2017/04/28 07:04:35,3722364942.5,0,2367,3702351875.0,-54,JSON_Data,1,internal_timestamp,13912,ok,-49,14812,17,velpt_ab_dcl_diagnostics,769,505,-632,-277
89,76,78,75,0,116,2017/04/28 07:04:36,3722364942.5,0,2466,3702351876.0,12,JSON_Data,1,internal_timestamp,13500,ok,17,14812,17,velpt_ab_dcl_diagnostics,769,127,-490,-330
90,78,74,75,0,116,2017/04/28 07:04:37,3722364942.5,0,2317,3702351877.0,48,JSON_Data,1,internal_timestamp,13065,ok,-1,14812,17,velpt_ab_dcl_diagnostics,769,149,254,-286
91,80,76,78,0,116,2017/04/28 07:04:38,3722364942.5,0,2370,3702351878.0,0,JSON_Data,1,internal_timestamp,12845,ok,-34,14812,17,velpt_ab_dcl_diagnostics,769,132,414,367
92,79,77,74,0,116,2017/04/28 07:04:39,3722364942.51,0,2420,3702351879.0,-3,JSON_Data,1,internal_timestamp,13053,ok,-64,14812,17,velpt_ab_dcl_diagnostics,769,-154,-7,-249
93,71,82,85,0,116,2017/04/28 07:04:40,3722364942.51,0,2447,3702351880.0,31,JSON_Data,1,internal_timestamp,12542,ok,-43,14812,17,velpt_ab_dcl_diagnostics,769,-260,-351,89
94,81,78,69,0,116,2017/04/28 07:04:41,3722364942.51,0,2470,3702351881.0,60,JSON_Data,1,internal_timestamp,12529,ok,-30,14812,17,velpt_ab_dcl_diagnostics,769,-95,327,216
95,77,74,76,0,116,2017/04/28 07:04:42,3722364942.51,0,2487,3702351882.0,64,JSON_Data,1,internal_timestamp,12698,ok,-80,14812,17,velpt_ab_dcl_diagnostics,769,191,710,306
96,78,80,74,0,116,2017/04/28 07:04:43,3722364942.51,0,2506,3702351883.0,40,JSON_Data,1,internal_timestamp,12978,ok,-101,14812,17,velpt_ab_dcl_diagnostics,769,19,-63,244
97,79,73,74,0,116,2017/04/28 07:04:44,3722364942.51,0,2410,3702351884.0,81,JSON_Data,1,internal_timestamp,13192,ok,-68,14812,17,velpt_ab_dcl_diagnostics,769,138,-656,104
98,81,78,72,0,116,2017/04/28 07:04:45,3722364942.51,0,2472,3702351885.0,83,JSON_Data,1,internal_timestamp,13361,ok,-17,14812,17,velpt_ab_dcl_diagnostics,769,454,-34,348
99,79,82,80,0,116,2017/04/28 07:04:46,3722364942.51,0,2479,3702351886.0,41,JSON_Data,1,internal_timestamp,13903,ok,-32,14812,17,velpt_ab_dcl_diagnostics,769,646,322,149
100,58,61,68,0,116,2017/04/28 19:03:07,3722364942.51,0,2163,3702394987.0,56,JSON_Data,1,internal_timestamp,12327,ok,-53,14811,17,velpt_ab_dcl_diagnostics,766,-140,-5,-1347
101,77,80,79,0,116,2017/04/28 19:03:08,3722364942.51,0,2166,3702394988.0,51,JSON_Data,1,internal_timestamp,13156,ok,-65,14811,17,velpt_ab_dcl_diagnostics,766,-299,-236,634
102,76,81,78,0,116,2017/04/28 19:03:09,3722364942.51,0,2054,3702394989.0,45,JSON_Data,1,internal_timestamp,13683,ok,-65,14811,17,velpt_ab_dcl_diagnostics,766,295,-665,-201
103,76,90,77,0,116,2017/04/28 19:03:10,3722364942.51,0,2018,3702394990.0,54,JSON_Data,1,internal_timestamp,13521,ok,-14,14811,17,velpt_ab_dcl_diagnostics,766,513,-105,-307
104,80,97,80,0,116,2017/04/28 19:03:11,3722364942.51,0,2237,3702394991.0,3,JSON_Data,1,internal_timestamp,13245,ok,15,14811,17,velpt_ab_dcl_diagnostics,766,-383,121,-216
105,77,82,78,0,116,2017/04/28 19:03:12,3722364942.51,0,2032,3702394992.0,17,JSON_Data,1,internal_timestamp,13060,ok,-60,14811,17,velpt_ab_dcl_diagnostics,766,-346,-223,-38
106,77,77,79,0,116,2017/04/28 19:03:13,3722364942.51,0,1803,3702394993.0,31,JSON_Data,1,internal_timestamp,13129,ok,-67,14811,17,velpt_ab_dcl_diagnostics,766,113,416,81
107,77,84,84,0,116,2017/04/28 19:03:14,3722364942.51,0,1843,3702394994.0,-41,JSON_Data,1,internal_timestamp,13266,ok,-23,14811,17,velpt_ab_dcl_diagnostics,766,327,616,390
108,81,85,78,0,116,2017/04/28 19:03:15,3722364942.51,0,1965,3702394995.0,-56,JSON_Data,1,internal_timestamp,13729,ok,-27,14811,17,velpt_ab_dcl_diagnostics,766,196,141,-452
109,83,98,77,0,116,2017/04/28 19:03:16,3722364942.51,0,1934,3702394996.0,-44,JSON_Data,1,internal_timestamp,12889,ok,-18,14811,17,velpt_ab_dcl_diagnostics,766,168,-487,-989
110,78,93,78,0,116,2017/04/28 19:03:17,3722364942.51,0,1985,3702394997.0,20,JSON_Data,1,internal_timestamp,12148,ok,-29,14811,17,velpt_ab_dcl_diagnostics,766,-240,-370,434
111,81,82,81,0,116,2017/04/28 19:03:18,3722364942.51,0,2091,3702394998.0,48,JSON_Data,1,internal_timestamp,12536,ok,-30,14811,17,velpt_ab_dcl_diagnostics,766,-966,-599,176
112,86,75,79,0,116,2017/04/28 19:03:19,3722364942.51,0,1744,3702394999.0,67,JSON_Data,1,internal_timestamp,12877,ok,-100,14811,17,velpt_ab_dcl_diagnostics,766,-116,-677,184
113,79,80,80,0,116,2017/04/28 19:03:20,3722364942.51,0,1651,3702395000.0,48,JSON_Data,1,internal_timestamp,13280,ok,-70,14811,17,velpt_ab_dcl_diagnostics,766,113,184,657
114,78,79,78,0,116,2017/04/28 19:03:21,3722364942.51,0,1721,3702395001.0,16,JSON_Data,1,internal_timestamp,13898,ok,-41,14811,17,velpt_ab_dcl_diagnostics,766,247,678,-550
115,78,80,81,0,116,2017/04/28 19:03:22,3722364942.51,0,1772,3702395002.0,-53,JSON_Data,1,internal_timestamp,13244,ok,-28,14811,17,velpt_ab_dcl_diagnostics,766,340,44,-453
116,80,79,80,0,116,2017/04/28 19:03:23,3722364942.51,0,1987,3702395003.0,-10,JSON_Data,1,internal_timestamp,12887,ok,-5,14811,17,velpt_ab_dcl_diagnostics,766,-30,-303,865
