ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,reference_designator,data_source,Automated_status,status,notes
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#Ingest.pco2w-abc_recovered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-PCO2WC052,recovered_inst,,Not deployed,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.phsen-abcdef-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/PHSEN_snP0101/*.DAT,5095,0,5078,17,GI01SUMO-RII11-02-PHSENE042,recovered_host,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.phsen-abcdef_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/PHSEN_snP0101/SAMI*.txt,1,0,0,1,GI01SUMO-RII11-02-PHSENE042,recovered_inst,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-CTDBPP033,recovered_inst,,Not deployed,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-CTDBPP033,recovered_host,,Not deployed,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-DOSTAD033,recovered_host,,Not deployed,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-FLORDG033,recovered_host,,Not deployed,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#Ingest.pco2w-abc-imodem_recovered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-PCO2WC053,recovered_host,,Not deployed,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#Ingest.pco2w-abc_recovered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-PCO2WC053,recovered_inst,,Not deployed,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11477/*.hex,1,0,0,1,GI01SUMO-RII11-02-CTDMOQ011,recovered_inst,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11476/*.hex,1,0,0,1,GI01SUMO-RII11-02-CTDMOQ031,recovered_inst,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11475/*.hex,1,0,0,1,GI01SUMO-RII11-02-CTDMOQ012,recovered_inst,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11482/*.hex,1,0,0,1,GI01SUMO-RII11-02-CTDMOQ013,recovered_inst,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11481/*.hex,1,0,0,1,GI01SUMO-RII11-02-CTDMOQ033,recovered_inst,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11480/*.hex,1,0,0,1,GI01SUMO-RII11-02-CTDMOQ014,recovered_inst,Available,,NaN
